Collecting system-call data for the whole system
Top 20 system-calls will be displayed for the interval of 10 seconds
Type Ctrl+c to exit the program


     Process ID  #Syscalls
           3401      10720
           4729       9701
           5394       5174
           3337       3153
           4703        372
              1        268
           2729        183
           4999        120
           1506         82
           2735         80
           1540         79
           2738         55
           4697         48
           4785         39
           5024         30
           3325         30
           4855         26
           2878         25
           4492         24
           3801         23
***************<>***************
     Process ID  #Syscalls
           3401       7299
           4729       5539
           5394       3634
           4703        452
           2729        182
           4697         54
           5024         32
           4492         28
           5353         27
           4855         26
           4936         26
           4999         23
           3325         22
           5465         12
           5038         12
           5040         12
           6894         12
           4894         12
           5325         11
           3323         10
***************<>***************
     Process ID  #Syscalls
           3401       8988
           4729       7066
           5394       4061
           4703        440
           4999        290
           1506        206
           5353        186
           2729        180
           5024         66
           4936         42
           3325         42
           2836         42
           4697         42
           2843         41
           5465         36
           5038         36
           5040         36
           6894         36
           4894         36
           4492         28
***************<>***************
     Process ID  #Syscalls
           4729       3036
           3401       3024
           5394        882
           2729        182
           4703        126
           5024         44
           4936         34
           4855         26
           5465         24
           5038         24
           5040         24
           6894         24
           4894         24
           3325         22
           4934         16
           4955         16
           4999         16
           4762         16
           4476         16
           4950         16
***************<>***************

Total Result:
     Process ID  #Syscalls
           3401      31418
           4729      26821
           5394      14394
           3337       3153
           4703       1454
           2729        770
           4999        453
           1506        288
              1        268
           5353        256
           5024        188
           4697        159
           4936        130
           3325        122
           4855        104
           4492         89
           4894         87
           5040         81
           2735         80
           1540         79
